,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
103,Jeremy Lin,0.358,0.0064793,0.352,0.377,0.364,0.369,0.005
190,Randy Foye,0.38,-0.016336,0.331,0.396,0.364,0.357,-0.007
66,Eric Bledsoe,0.357,0.0043629,0.353,0.37,0.362,0.324,-0.038
183,Pero Antic,0.327,0.034672,0.292,0.431,0.362,0.301,-0.061
219,Thaddeus Young,0.308,0.053774,0.254,0.47,0.362,0.33,-0.032
168,Nate Robinson,0.377,-0.016692,0.327,0.394,0.361,0.277,-0.084
31,Channing Frye,0.37,-0.010488,0.339,0.381,0.36,0.393,0.033
122,Jrue Holiday,0.39,-0.030799,0.298,0.421,0.36,0.378,0.018
18,Austin Rivers,0.364,-0.0061161,0.346,0.37,0.358,0.298,-0.06
38,Chris Paul,0.368,-0.01049,0.337,0.379,0.358,0.398,0.04
141,Lou Williams,0.342,0.016145,0.326,0.39,0.358,0.34,-0.018
223,Tony Parker,0.373,-0.015094,0.328,0.388,0.358,0.427,0.069
191,Rashard Lewis,0.343,0.013999,0.329,0.385,0.357,DNA,NA
209,Shawn Marion,0.358,-0.0024239,0.351,0.36,0.356,0.261,-0.095
124,Kelly Olynyk,0.351,0.0022501,0.349,0.358,0.354,0.349,-0.005
35,Chris Copeland,0.418,-0.065255,0.223,0.483,0.353,0.311,-0.042
72,Francisco Garcia,0.358,-0.0060131,0.34,0.364,0.352,0.222,-0.13
158,Michael Beasley,0.389,-0.036608,0.279,0.425,0.352,0.235,-0.117
74,George Hill,0.365,-0.016602,0.315,0.382,0.349,0.358,0.009
49,Darren Collison,0.376,-0.028947,0.29,0.405,0.348,0.373,0.025
53,Deron Williams,0.366,-0.018815,0.31,0.385,0.348,0.367,0.019
145,Manu Ginobili,0.349,-0.00097388,0.346,0.35,0.348,0.345,-0.003
